category,Year,Month,n-3,n-2,n-1,y
2014.0,2016.0,2.0,50.0,50.0,50.0,50.0
2014.0,2016.0,3.0,50.0,50.0,50.0,50.0
2014.0,2016.0,4.0,50.0,50.0,50.0,50.0
2014.0,2016.0,5.0,50.0,50.0,50.0,50.0
2014.0,2016.0,12.0,48.0,48.0,48.0,48.0
2014.0,2017.0,1.0,48.0,48.0,48.0,80.0
2014.0,2017.0,2.0,48.0,48.0,80.0,80.0
2014.0,2017.0,3.0,48.0,80.0,80.0,32.0
2014.0,2017.0,4.0,80.0,80.0,32.0,48.0
2014.0,2017.0,5.0,80.0,32.0,48.0,48.0
2014.0,2017.0,6.0,32.0,48.0,48.0,48.0
2014.0,2017.0,7.0,48.0,48.0,48.0,16.0
2014.0,2017.0,8.0,48.0,48.0,16.0,64.0
2014.0,2017.0,9.0,48.0,16.0,64.0,64.0
2014.0,2017.0,10.0,16.0,64.0,64.0,48.0
2014.0,2017.0,11.0,64.0,64.0,48.0,80.0
100.0,2015.0,4.0,210.0,502.0,652.0,1200.0
100.0,2015.0,5.0,502.0,652.0,1200.0,1200.0
100.0,2015.0,6.0,652.0,1200.0,1200.0,900.0
100.0,2015.0,7.0,1200.0,1200.0,900.0,1100.0
100.0,2015.0,8.0,1200.0,900.0,1100.0,1100.0
100.0,2015.0,9.0,900.0,1100.0,1100.0,1150.0
100.0,2015.0,10.0,1100.0,1100.0,1150.0,600.0
100.0,2015.0,11.0,1100.0,1150.0,600.0,600.0
100.0,2015.0,12.0,1150.0,600.0,600.0,600.0
100.0,2016.0,1.0,600.0,600.0,600.0,400.0
100.0,2016.0,2.0,600.0,600.0,400.0,600.0
100.0,2016.0,3.0,600.0,400.0,600.0,400.0
100.0,2016.0,4.0,400.0,600.0,400.0,400.0
100.0,2016.0,5.0,600.0,400.0,400.0,896.0
100.0,2016.0,6.0,400.0,400.0,896.0,696.0
100.0,2016.0,7.0,400.0,896.0,696.0,1196.0
100.0,2016.0,8.0,896.0,696.0,1196.0,996.0
100.0,2016.0,9.0,696.0,1196.0,996.0,996.0
100.0,2016.0,10.0,1196.0,996.0,996.0,996.0
100.0,2016.0,11.0,996.0,996.0,996.0,500.0
100.0,2016.0,12.0,996.0,996.0,500.0,500.0
100.0,2017.0,7.0,500.0,500.0,500.0,500.0
100.0,2017.0,8.0,500.0,500.0,500.0,500.0
100.0,2017.0,9.0,500.0,500.0,500.0,1000.0
100.0,2017.0,10.0,500.0,500.0,1000.0,500.0
100.0,2017.0,11.0,500.0,1000.0,500.0,600.0
100.0,2017.0,12.0,1000.0,500.0,600.0,938.0
100.0,2018.0,1.0,500.0,600.0,938.0,1238.0
100.0,2018.0,2.0,600.0,938.0,1238.0,1282.0
100.0,2018.0,3.0,938.0,1238.0,1282.0,1276.0
100.0,2018.0,4.0,1238.0,1282.0,1276.0,1276.0
100.0,2018.0,5.0,1282.0,1276.0,1276.0,1176.0
